,id
118,74irxdVWstNlEQjsvArITq
119,42DXtv4BQVqXBj3GvZgrXV
120,1wkaoS4jTVXYMUWHKVFZTk
121,0tuyEYTaqLxE41yGHSsXjy
122,7rdtBpPpe4knfd7aD98h9X
123,7F10PTbZkQNYedqx8UEKUb
124,5zpDHEU12zATwLGvozxPw2
125,3SktMqZmo3M9zbB7oKMIF7
126,9999
127,00WvmRXTkPBZNhhRK3xfdy
128,1esFtIzDXqpyIsL7mINxiK
129,2YaGZvBfkQ4jiD5cMLIFQV
130,3YRCqOhFifThpSRFJ1VWFM
131,6TwfdLbaxTKzQi3AgsZNzx
132,7MRn6wgG0ReDRNYV5wJeGX
133,4hQp5DyfZlCPXj0tZ1IgmL
134,78DwRIo6Vj6wqteyerGetr
135,6OXt9aSIr4DSxSR3Qjrtgp
136,31L9yLXSj6LpCFupyMV6CR
137,7keXdrB4mz57u4b8YkCwag
138,75JFxkI2RXiU7L9VXzMkle
139,05WtZ4JgyIzDOaoTBITa5g
140,4veeNpXDK1YRHMTJ1Cppsg
141,6atVS7UZBxoyJkkteM62u5
142,50mHTNxev0bSYQhuAASe17
143,6bx3OWCsfjJL9tV1i4eQmC
144,2i5BhTOcsnH6jfBspDNuLM
145,4IidhQgMttqe9iXIknLoNb
146,2uKQ1p3Hqj3khZFpU8tKJl
147,5JWDt4NZNiZQR8iMenaa7h
148,4CbKVDZkYKdv69I4bCaKUq
149,03cH7hozNkNX8qWi8xbkUA
150,1ViE8QmmBwEMSsRurbO5TD
151,9999
152,2wHni3S0dPWypMxXysf1Gj
153,9999
154,20g7z9R1wjE7EtVnB7XEjS
155,0XhVTy2R7lhXZzsS9wKLXi
156,7BUlgTBmITvNsAbbB0lo9z
157,0mJUxFpEI1eAOIIfnNoZ4G
158,4eHyNFtFkMqb9EkppnF4cl
159,9999
160,5zwufv0uLYKQLsgwathv2I
161,0ZqWBTU1EkdVPAMwQgfKiv
162,5ami95W9OOWQPwrBb5tud5
163,7bsUUgGrtXLxnyjLs226xN
164,9999
165,9999
166,6WuqJLVZcyJklg7lIozAO8
167,3Gr6fisu6QAHN49IHD6lGC
168,2UREu1Y8CO4jXkbvqAtP7g
169,07NP4cw80msmOjigxKOyMb
170,6FVYwnVrnAEIRnY3bHJb46
171,5XlgvmakaU9N7IoGabsJyk
172,14JG4VbsqeLsFuDJlkybOT
173,5dpk82jMbtHOFaAQjxIttS
174,01BLsbwudw5x4Vb48ZYjdN
175,5ozvYiSPEuhUoHDJBDYN9n
176,0Beb8WbTKUTbmtSxLyCF3x
177,7wQGfZ4KNrl1dcvV7HBTpV
178,5uECwYWFhJCH9U3wgd0SfV
179,7DhSMsvYduvpvWaTBC2HMH
180,2jBPpMr7MeOQAhNLmHmF5h
181,6kmFSxoIKXROHMgkqqLQl9
182,1RJfhgykgVJBNKJ4bEqCeS
183,2XEbB9kJtd5VBdxDKYpKda
184,0cs0zSjP7UnUzrfd4YRJtl
185,4bcN9riyILh4IXEdmLGa8m
186,6t8kWuCtYt1wN5qxdQznll
187,9999
188,6faKQnSrAnVWk1dhYY8dXL
189,9999
190,6G7URf5rGe6MvNoiTtNEP7
191,35vb9aCpdSWkNYR58NqPtl
192,2aOEHaJCT1v2L0HKFlqAVp
193,5SXom2SWwb8YxyfpUOQUp2
194,4vqmSmLC0dbw1UF7mmUDZe
195,0uOo8xRtQ6okTZMR89ppVk
196,0JrT1ejmiXXR4Bm3VWbyJU
197,4S5oPOOtbwRGjiTqdWldkZ
198,012INUMZJqrDnWVZq8GU1t
199,7dixPHbBrofjjs1rj3gogf
200,43FOfqDaNvFC7uZI2wfF3i
201,454BoByxHXiS4CVY5b9ekv
202,6EcYFNGJAzIUFv4BnCvLxs
203,4AGhTdyF9CAcPMUBsPbO49
204,0vQJVOmsFlKHhCqVMN5e09
205,1mB7dCUM7sPyNab6R43nlj
206,03IARX7s1aJZlDDvn8mJ2Z
207,1UWG1jelSQUvLpq5PQKMOB
208,6HLZaECJKDjNE0jiGBeqxz
209,9999
210,0vK2vpdIuM9jOUF0WfK6to
211,3sHH7lklbfpcraDDvYnjo7
212,3bkdRyhz2zhJ0i4hFrTlor
213,9999
