,Unnamed: 0,artist,paths,title,emotion
29,29,['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/Anodyne Sea.mp3,['Anodyne Sea'],1
30,30,['Cradle Of Filth'],/home/dhanush/Music/MusicClassify/anger/From the Cradle to Enslave.mp3,['From The Cradle To Enslave'],1
31,31,['Bullet For My Valentine'],/home/dhanush/Music/MusicClassify/anger/Eye Of The Storm.mp3,['Eye Of The Storm'],1
32,32,['Black Veil Brides'],/home/dhanush/Music/MusicClassify/anger/02 We Stitch These Wounds.mp3,['We Stitch These Wounds'],1
33,33,['A Day To Remember'],/home/dhanush/Music/MusicClassify/anger/The Plot To Bomb The Panhandle.mp3,['The Plot To Bomb The Panhandle'],1
34,34,['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Second Heartbeat.mp3,['Second Heartbeat'],1
35,35,['Cradle of Filth'],/home/dhanush/Music/MusicClassify/anger/Forgive Me Father (I Have Sinned).mp3,['Forgive Me Father (I Have Sinned)'],1
36,36,['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Waking the Fallen.mp3,['Waking the Fallen'],1
37,37,['Falling in Reverse'],/home/dhanush/Music/MusicClassify/anger/Pick Up The Phone.mp3,['Pick Up the Phone'],1
38,38,['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/The Blinding Of False Light.mp3,['The Blinding Of False Light'],1
39,39,['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Remenissions.mp3,['Remenissions'],1
40,40,['Children of Bodom'],/home/dhanush/Music/MusicClassify/anger/Are You Dead Yet.mp3,['Are You Dead Yet?'],1
41,41,['Bullet For My Valentine'],/home/dhanush/Music/MusicClassify/anger/Hearts Burst Into Fire.mp3,['Hearts Burst Into Fire'],1
42,42,['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/An Epic of Time Wasted.mp3,['An Epic of Time Wasted'],1
43,43,['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Burn It Down.mp3,['Burn It Down'],1
44,44,['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/The Plague.mp3,['The Plague'],1
45,45,['50 Cent'],/home/dhanush/Music/MusicClassify/anger/02 - Niggas Be Scheming (www.SongsLover.com).mp3,['Niggas Be Scheming'],1
46,46,['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/Upside Down Kingdom.mp3,['Upside Down Kingdom'],1
47,47,"['Dr. Dre ft Eminem, Skylar Grey']",/home/dhanush/Music/MusicClassify/anger/Dr-Dre-ft-Eminem-Skylar-Grey--I-Need-Doctor.mp3,['I Need A Doctor'],1
48,48,['A Day To Remember'],/home/dhanush/Music/MusicClassify/anger/The DownFall Of Us ALL.mp3,['The Downfall Of Us All'],1
49,49,['Children of Bodom'],/home/dhanush/Music/MusicClassify/anger/Bastards Of Bodom.mp3,['Bastards of Bodom'],1
50,50,['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/The Only Constant Is Change.mp3,['The Only Constant Is Change'],1
51,51,['Cradle of Filth'],/home/dhanush/Music/MusicClassify/anger/Temptation.mp3,['Temptation'],1
52,52,['Falling in Reverse'],/home/dhanush/Music/MusicClassify/anger/Raised By Wolves.mp3,['Raised By Wolves'],1
53,53,['Evanescence'],/home/dhanush/Music/MusicClassify/anger/01 What You Want.mp3,['What You Want'],1
54,54,['Bullet For My Valentine'],/home/dhanush/Music/MusicClassify/anger/End Of Days.mp3,['End Of Days'],1
55,55,['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/Vacancy.mp3,['Vacancy'],1
56,56,['Children of Bodom'],/home/dhanush/Music/MusicClassify/anger/Living Dead Beat.mp3,['Living Dead Beat'],1
57,57,['Bullet for My Valentine'],/home/dhanush/Music/MusicClassify/anger/No Control.mp3,['No Control'],1
58,58,['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/Without Conclusion.mp3,['Without Conclusion'],1
59,59,['Bullet For My Valentine'],/home/dhanush/Music/MusicClassify/anger/Disappear.mp3,['Disappear'],1
60,60,['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Radiant Eclipse.mp3,['Radiant Eclipse'],1
61,61,['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Chapter Four.mp3,['Chapter Four'],1
62,62,['Children of Bodom'],/home/dhanush/Music/MusicClassify/anger/Next In Line.mp3,['Next In Line'],1
63,63,['Falling in Reverse'],/home/dhanush/Music/MusicClassify/anger/The Drug In Me Is You.mp3,['The Drug In Me is You'],1
64,64,['Bullet For My Valentine'],/home/dhanush/Music/MusicClassify/anger/Forever And Always.mp3,['Forever And Always'],1
