,artist,paths,title,emotion
34,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/10 Do You Know Me.mp3,['Do You Know Me'],3
35,['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/If Time Is All I Have.mp3,['If Time Is All I Have'],3
36,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/Nothing Last Forever.mp3,['Nothing Lasts Forever'],3
37,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/12 - Beautiful Goodbye (www.SongsLover.pk).mp3,['Beautiful Goodbye'],3
38,['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/Goodbye My Lover.mp3,['Goodbye My Lover'],3
39,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/08 - Slow Dancing In A Burning Room.mp3,['Slow Dancing In A Burning Room'],3
40,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/05 - The Man Who Never Lied (www.SongsLover.pk).mp3,['The Man Who Never Lied'],3
41,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/Back At Your Door.mp3,['Back At Your Door'],3
42,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/Secret.mp3,['Secret'],3
43,['Beyonce'],/home/dhanush/Music/MusicClassify/sadness/Beyonce-Halo.mp3,['Halo'],3
44,['Train'],/home/dhanush/Music/MusicClassify/sadness/04  Train - Parachute.mp3,['Parachute'],3
45,['Aerosmith'],/home/dhanush/Music/MusicClassify/sadness/Aerosmith - Dream On.mp3,['Dream On'],3
46,['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/You're Beautiful.mp3,"[""You're Beautiful""]",3
47,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/09 Edge Of Desire.mp3,['Edge Of Desire'],3
48,['Aerosmith'],/home/dhanush/Music/MusicClassify/sadness/Aerosmith - Crazy.mp3,['Crazy'],3
49,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/06 Home To You.mp3,['Home To You'],3
50,['John Mayer'],"/home/dhanush/Music/MusicClassify/sadness/11 Friends, Lovers Or Nothing.mp3","['Friends, Lovers Or Nothing']",3
51,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/Won't Go Home Without You.mp3,"[""Won't Go Home Without You""]",3
52,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/16 Take Me To Your Heart.mp3,['Take Me To Your Heart'],3
53,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/11 Out Of The Blue.mp3,['Out Of The Blue'],3
54,['Bad Meets Evil'],/home/dhanush/Music/MusicClassify/sadness/Bad Meets Evil-Lighters Ft.Bruno Mars.mp3,['Lighters'],3
55,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/04 - Gravity.mp3,['Gravity'],3
56,['David Guetta'],/home/dhanush/Music/MusicClassify/sadness/Without U (feat. Usher).mp3,['Without U'],3
57,['Backstreet Boys'],/home/dhanush/Music/MusicClassify/sadness/As long as you love me.mp3,['As Long As You Love Me'],3
58,['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/Best Laid Plans.mp3,['Best Laid Plans'],3
59,['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/Same Mistake.mp3,['Same Mistake'],3
60,"[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/sadness/09.November Rain.mp3,['November Rain'],3
61,['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/03 - Daylight (www.SongsLover.pk).mp3,['Daylight'],3
62,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/11 - In Repair.mp3,['In Repair'],3
63,['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/No Tears.mp3,['No Tears'],3
64,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/05 - The Heart Of Life.mp3,['The Heart Of Life'],3
65,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/06 Assassin.mp3,['Assassin'],3
66,['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/11. Up&Up.mp3,['Up&Up'],3
67,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/10 - Dreaming With A Broken Heart.mp3,['Dreaming With A Broken Heart'],3
68,['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/The Scientist.mp3,['The Scientist'],3
69,['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/08 Sleeping Child.mp3,['Sleeping Child'],3
70,['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/sadness/Buried Alive.mp3,['Buried Alive'],3
71,['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/John Mayer - Heavier Things - 01 - Clarity.mp3,['Clarity'],3
